#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SIG-FY2015.CSV","Start Processing"
"8783.6142","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SIG-FY2015.CSV","End Processing"
"0.496","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SJM-FY2015.CSV","Start Processing"
"9138.8384","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SJM-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SLB-FY2015.CSV","Start Processing"
"9663.9777","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SLB-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SLG-FY2015.CSV","Start Processing"
"10804.5042","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SLG-FY2015.CSV","End Processing"
"0.9984","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SNA-FY2015.CSV","Start Processing"
"10450.2025","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SNA-FY2015.CSV","End Processing"
"0.5014","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SNI-FY2015.CSV","Start Processing"
"9306.3029","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SNI-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SNPS-FY2015.CSV","Start Processing"
"9395.1781","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SNPS-FY2015.CSV","End Processing"
"0.5003","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SO-FY2015.CSV","Start Processing"
"9904.3941","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SO-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SPG-FY2015.CSV","Start Processing"
"8579.6001","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SPG-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SPGI-FY2015.CSV","Start Processing"
"8827.2718","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SPGI-FY2015.CSV","End Processing"
"1.0791","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SRCL-FY2015.CSV","Start Processing"
"9354.7196","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SRCL-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SRE-FY2015.CSV","Start Processing"
"8494.6027","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SRE-FY2015.CSV","End Processing"
"0.4971","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STI-FY2015.CSV","Start Processing"
"9301.5702","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STI-FY2015.CSV","End Processing"
"1.001","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STT-FY2015.CSV","Start Processing"
"9604.0594","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STT-FY2015.CSV","End Processing"
"0.5004","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STX-FY2015.CSV","Start Processing"
"9634.7591","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STX-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STZ-FY2015.CSV","Start Processing"
"8614.7609","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\STZ-FY2015.CSV","End Processing"
"0.9952","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SWK-FY2015.CSV","Start Processing"
"12003.5231","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SWK-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SWKS-FY2015.CSV","Start Processing"
"9100.0668","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SWKS-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYF-FY2015.CSV","Start Processing"
"8813.2289","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYF-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYK-FY2015.CSV","Start Processing"
"9034.2807","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYK-FY2015.CSV","End Processing"
"1.0068","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYMC-FY2015.CSV","Start Processing"
"8350.5525","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYMC-FY2015.CSV","End Processing"
"1.0141","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYY-FY2015.CSV","Start Processing"
"9172.436","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2015\SYY-FY2015.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SBAC-FY2016.CSV","Start Processing"
"8532.7241","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SBAC-FY2016.CSV","End Processing"
"0.5015","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SBUX-FY2016.CSV","Start Processing"
"8253.3075","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SBUX-FY2016.CSV","End Processing"
"1.0229","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SCG-FY2016.CSV","Start Processing"
"8703.0195","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SCG-FY2016.CSV","End Processing"
"0.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SCHW-FY2016.CSV","Start Processing"
"11047.9507","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SCHW-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SEE-FY2016.CSV","Start Processing"
"9436.7594","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SEE-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SHW-FY2016.CSV","Start Processing"
"8447.3242","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SHW-FY2016.CSV","End Processing"
"1.0225","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SIG-FY2016.CSV","Start Processing"
"8513.5152","257","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SIG-FY2016.CSV","End Processing"
"0.9996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SJM-FY2016.CSV","Start Processing"
"9049.255","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SJM-FY2016.CSV","End Processing"
"1.001","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SLB-FY2016.CSV","Start Processing"
"8575.3164","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SLB-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SLG-FY2016.CSV","Start Processing"
"9370.7036","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SLG-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SNA-FY2016.CSV","Start Processing"
"8864.5955","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SNA-FY2016.CSV","End Processing"
"0.4974","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SNI-FY2016.CSV","Start Processing"
"8229.8378","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SNI-FY2016.CSV","End Processing"
"0.9988","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SNPS-FY2016.CSV","Start Processing"
"8815.9101","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SNPS-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SO-FY2016.CSV","Start Processing"
"8742.9723","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SO-FY2016.CSV","End Processing"
"1.0032","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SPG-FY2016.CSV","Start Processing"
"8388.0171","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SPG-FY2016.CSV","End Processing"
"0.5014","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SPGI-FY2016.CSV","Start Processing"
"8528.295","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SPGI-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SRCL-FY2016.CSV","Start Processing"
"8254.689","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SRCL-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SRE-FY2016.CSV","Start Processing"
"8334.9976","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\SRE-FY2016.CSV","End Processing"
