#TYPE System.Management.Automation.PSCustomObject
"Total","Recs","File","Action"
"9300.5838","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EQT-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ES-FY2016.CSV","Start Processing"
"9199.7205","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ES-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ESRX-FY2016.CSV","Start Processing"
"8782.3449","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ESRX-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ESS-FY2016.CSV","Start Processing"
"8900.8287","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ESS-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ETFC-FY2016.CSV","Start Processing"
"9399.7915","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ETFC-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ETN-FY2016.CSV","Start Processing"
"9109.8359","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ETN-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ETR-FY2016.CSV","Start Processing"
"9281.5559","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\ETR-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EVHC-FY2016.CSV","Start Processing"
"8712.1686","253","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EVHC-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EW-FY2016.CSV","Start Processing"
"8689.3799","252","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EW-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXC-FY2016.CSV","Start Processing"
"8233.3591","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXC-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXPD-FY2016.CSV","Start Processing"
"9100.0282","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXPD-FY2016.CSV","End Processing"
"1.0002","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXPE-FY2016.CSV","Start Processing"
"8679.9317","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXPE-FY2016.CSV","End Processing"
"0.4999","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXR-FY2016.CSV","Start Processing"
"9498.7089","256","C:\COMMUNITY WORK\STAGING\DATA\S&P-2016\EXR-FY2016.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EA-FY2017.CSV","Start Processing"
"8669.6868","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EA-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EBAY-FY2017.CSV","Start Processing"
"8883.5112","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EBAY-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ECL-FY2017.CSV","Start Processing"
"8165.8026","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ECL-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ED-FY2017.CSV","Start Processing"
"7961.0602","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ED-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EFX-FY2017.CSV","Start Processing"
"8555.4396","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EFX-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EIX-FY2017.CSV","Start Processing"
"8566.8088","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EIX-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EL-FY2017.CSV","Start Processing"
"8348.886","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EL-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EMN-FY2017.CSV","Start Processing"
"8434.5044","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EMN-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EMR-FY2017.CSV","Start Processing"
"9002.9475","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EMR-FY2017.CSV","End Processing"
"0.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EOG-FY2017.CSV","Start Processing"
"8836.486","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EOG-FY2017.CSV","End Processing"
"0.4982","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EQIX-FY2017.CSV","Start Processing"
"9040.1738","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EQIX-FY2017.CSV","End Processing"
"0.535","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EQR-FY2017.CSV","Start Processing"
"8767.7104","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EQR-FY2017.CSV","End Processing"
"0.5047","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EQT-FY2017.CSV","Start Processing"
"8825.0002","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EQT-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ES-FY2017.CSV","Start Processing"
"8761.703","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ES-FY2017.CSV","End Processing"
"0.5","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ESRX-FY2017.CSV","Start Processing"
"8988.5751","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ESRX-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ESS-FY2017.CSV","Start Processing"
"8765.3858","254","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ESS-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ETFC-FY2017.CSV","Start Processing"
"8516.1475","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ETFC-FY2017.CSV","End Processing"
"0.4988","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ETN-FY2017.CSV","Start Processing"
"8528.8829","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ETN-FY2017.CSV","End Processing"
"1.0485","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ETR-FY2017.CSV","Start Processing"
"8547.1953","255","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\ETR-FY2017.CSV","End Processing"
"0","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EVHC-FY2017.CSV","Start Processing"
"9712.4611","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EVHC-FY2017.CSV","End Processing"
"0.4974","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EW-FY2017.CSV","Start Processing"
"10212.0412","251","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EW-FY2017.CSV","End Processing"
"0.4996","0","C:\COMMUNITY WORK\STAGING\DATA\S&P-2017\EXC-FY2017.CSV","Start Processing"
